order_id,product_id,customer_id,order_date,shipping_date,quantity,price,discount_amount,tax_amount,shipping_cost,order_total,free_shipping,fulfillment_status,refund_amount,payment_method,shipping_method,carrier,sales_channel,coupon_code,ship_to_city,ship_to_state,ship_to_zip,ship_to_country
58157383,448334,1499232,2024-04-07 13:39:10,2024-04-13 13:39:10,2,154.13,0.0,15.41,0.0,323.67,True,Delivered,0.0,Credit Card,Standard,DHL,Marketplace,,Staceyport,DC,63339,USA
49458549,191421,9457963,2024-04-07 13:49:42,2024-04-09 13:49:42,24,23.05,82.98,23.51,0.0,493.73,True,Shipped,0.0,Google Pay,Expedited,FedEx,Retail Store,VIP20,Brewerberg,WI,19444,USA
10337173,979234,2696698,2024-04-07 14:17:50,2024-04-09 14:17:50,3,388.49,58.27,77.5,0.0,1184.7,True,Processing,0.0,Google Pay,Two-Day,FedEx,Retail Store,SPRING15,East Cynthia,MT,48287,USA
47240192,154907,9067968,2024-04-07 22:49:41,2024-04-08 22:49:41,4,59.3,0.0,18.98,0.0,256.18,True,Processing,0.0,Apple Pay,Overnight,USPS,Wholesale,,Tinaport,NE,86998,USA
25092712,979234,2991490,2024-04-07 23:07:43,2024-04-09 23:07:43,1,476.53,23.83,22.64,0.0,475.34,True,Shipped,0.0,Gift Card,Expedited,USPS,Online Store,VIP20,South Robert,PA,54853,USA
87268791,191421,4254075,2024-04-08 00:43:14,2024-04-11 00:43:14,21,24.7,51.87,37.35,0.0,504.18,True,Delivered,0.0,PayPal,Two-Day,UPS,Marketplace,VIP20,North Crystalton,TX,89581,USA
79543104,379501,4550563,2024-04-08 01:30:19,2024-04-09 01:30:19,4,204.31,0.0,40.86,0.0,858.1,True,Shipped,0.0,Apple Pay,Two-Day,UPS,Online Store,,Lake Feliciafort,VA,94659,USA
15000025,191421,5354039,2024-04-08 05:12:50,2024-04-12 05:12:50,2,25.52,5.1,2.3,11.75,59.99,False,Delivered,0.0,PayPal,Two-Day,USPS,Online Store,BULK5,Port Nancy,SD,43010,USA
46878531,453597,3665192,2024-04-08 06:19:53,2024-04-09 06:19:53,2,54.12,0.0,7.58,0.0,115.82,True,Shipped,0.0,Apple Pay,Standard,USPS,Online Store,,Stevenside,NE,05367,USA
41870983,379501,9962110,2024-04-08 06:28:58,2024-04-08 06:28:58,1,242.66,0.0,12.13,0.0,254.79,True,Delivered,0.0,Apple Pay,Standard,UPS,Marketplace,,Coxville,CT,15754,USA
65307536,191421,3205058,2024-04-08 09:56:00,2024-04-11 09:56:00,3,22.07,0.0,4.63,0.0,70.84,True,Processing,0.0,PayPal,Expedited,DHL,Marketplace,,Robinberg,DE,32118,USA
99070755,979234,1818201,2024-04-08 10:37:11,2024-04-09 10:37:11,4,440.34,0.0,123.3,0.0,1884.66,True,Cancelled,1704.97,Apple Pay,Overnight,DHL,Retail Store,,Margaretton,NM,44949,USA
29376886,191421,4291440,2024-04-08 12:33:34,2024-04-11 12:33:34,2,21.5,0.0,2.15,11.75,56.9,False,Delivered,0.0,Gift Card,Two-Day,DHL,Retail Store,,Lake Donnaport,OR,14635,USA
53233817,154907,2668217,2024-04-08 15:01:14,2024-04-14 15:01:14,2,64.76,19.43,7.71,0.0,117.8,True,Delivered,0.0,Credit Card,Two-Day,FedEx,Retail Store,BULK5,New Ryan,HI,89846,USA
98448786,379501,1786987,2024-04-08 17:15:50,2024-04-10 17:15:50,19,216.92,0.0,206.07,0.0,4327.55,True,Delivered,0.0,Apple Pay,Expedited,USPS,Online Store,,Charlesburgh,AZ,94958,USA
28869735,267418,5691480,2024-04-08 18:02:28,2024-04-09 18:02:28,2,58.15,0.0,9.3,0.0,125.6,True,Cancelled,87.18,Google Pay,Two-Day,FedEx,Wholesale,,Rachelmouth,WA,72431,USA
23362799,191421,9697769,2024-04-08 18:32:52,2024-04-09 18:32:52,2,23.85,0.0,3.34,8.67,59.71,False,Delivered,0.0,PayPal,Expedited,DHL,Online Store,,Calebport,GA,72151,USA
98565948,191421,9337158,2024-04-08 20:26:46,2024-04-14 20:26:46,2,20.59,4.12,2.59,5.59,45.24,False,Delivered,0.0,Credit Card,Standard,DHL,Online Store,WELCOME10,East Wendystad,GA,86061,USA
62266561,379501,1630096,2024-04-09 01:21:24,2024-04-10 01:21:24,1,223.86,0.0,11.19,0.0,235.05,True,Cancelled,207.09,Credit Card,Standard,FedEx,Online Store,,Diazview,CO,18260,USA
41397420,154907,5740368,2024-04-09 03:06:33,2024-04-10 03:06:33,5,62.03,0.0,21.71,0.0,331.86,True,Delivered,0.0,Apple Pay,Standard,DHL,Online Store,,Catherinechester,RI,89395,USA
24836416,191421,8361278,2024-04-09 07:47:19,2024-04-10 07:47:19,1,23.29,0.0,2.15,0.0,25.44,True,In Transit,0.0,Apple Pay,Standard,FedEx,Marketplace,,South Eric,DC,52083,USA
98289999,191421,4761910,2024-04-09 08:34:28,2024-04-10 08:34:28,5,24.13,12.06,10.04,0.0,118.63,True,Processing,0.0,PayPal,Expedited,DHL,Wholesale,SPRING15,Blackberg,MS,16137,USA
97557269,688211,7953317,2024-04-09 09:02:08,2024-04-13 09:02:08,2,65.96,0.0,9.23,0.0,141.15,True,Shipped,0.0,Google Pay,Two-Day,USPS,Marketplace,,North Brandonville,KS,48512,USA
20222615,191421,4091107,2024-04-09 10:43:22,2024-04-13 10:43:22,1,21.52,3.23,1.69,7.44,27.42,False,Delivered,0.0,PayPal,Expedited,UPS,Marketplace,SPRING15,West Kimberly,WA,36781,USA
69769677,154907,1714618,2024-04-09 11:22:18,2024-04-11 11:22:18,5,52.51,13.13,17.46,0.0,266.88,True,Processing,0.0,Google Pay,Overnight,UPS,Online Store,WELCOME10,East Alicia,UT,96342,USA
31024800,154907,1902229,2024-04-09 15:09:15,2024-04-12 15:09:15,2,58.44,5.84,8.88,0.0,119.92,True,Delivered,0.0,PayPal,Expedited,USPS,Marketplace,WELCOME10,Harriston,IN,49746,USA
41660732,191421,4161428,2024-04-09 16:30:37,2024-04-11 16:30:37,2,21.86,2.19,3.84,8.67,54.04,False,Processing,0.0,Credit Card,Expedited,DHL,Marketplace,BULK5,East Davidville,VT,43898,USA
53852367,191421,2122203,2024-04-09 17:43:46,2024-04-11 17:43:46,1,21.91,0.0,1.53,0.0,23.44,True,Shipped,0.0,PayPal,Standard,DHL,Online Store,,East Lisa,NV,81403,USA
71112143,453597,9457667,2024-04-09 20:49:20,2024-04-11 20:49:20,1,47.54,0.0,3.33,5.23,56.1,False,Delivered,0.0,Google Pay,Standard,UPS,Online Store,,West John,VA,10326,USA
85639697,191421,8291431,2024-04-10 01:29:32,2024-04-12 01:29:32,1,20.86,2.09,0.94,7.44,27.15,False,Processing,0.0,Google Pay,Expedited,USPS,Marketplace,VIP20,Christopherfurt,ND,88033,USA
35858404,453597,1929073,2024-04-10 01:36:56,2024-04-16 01:36:56,1,56.44,0.0,4.52,8.1,69.06,False,Cancelled,62.05,Google Pay,Expedited,DHL,Online Store,,Webbstad,NE,01125,USA
17773474,191421,3921016,2024-04-10 02:06:17,2024-04-11 02:06:17,4,20.93,4.19,5.57,15.1,100.2,False,Delivered,0.0,PayPal,Two-Day,FedEx,Online Store,SPRING15,West Amber,OH,08236,USA
17968626,154907,6723450,2024-04-10 10:10:30,2024-04-15 10:10:30,1,54.63,0.0,3.82,13.93,72.38,False,Shipped,0.0,Google Pay,Overnight,DHL,Online Store,,Loriport,FL,28057,USA
44682348,453597,3335768,2024-04-10 11:09:30,2024-04-16 11:09:30,4,57.31,22.92,14.44,0.0,220.76,True,Shipped,0.0,Credit Card,Overnight,FedEx,Online Store,BULK5,New Evanview,MI,87586,USA
81056841,979234,3838413,2024-04-10 15:47:12,2024-04-13 15:47:12,2,454.27,0.0,84.04,0.0,992.58,True,Shipped,0.0,PayPal,Two-Day,DHL,Marketplace,,Jefferyhaven,WA,98538,USA
12159580,689633,8061060,2024-04-10 16:15:46,2024-04-13 16:15:46,1,21.1,0.0,1.69,4.63,27.42,False,Delivered,0.0,Gift Card,Standard,USPS,Online Store,,Riggsshire,NE,82530,USA
72953487,191421,9950816,2024-04-10 19:51:42,2024-04-12 19:51:42,1,23.78,0.0,1.66,7.44,32.88,False,Shipped,0.0,PayPal,Expedited,FedEx,Marketplace,,Calebhaven,NY,86946,USA
80472475,993477,4010475,2024-04-10 21:32:20,2024-04-16 21:32:20,22,87.89,0.0,135.35,0.0,2068.93,True,Processing,0.0,Google Pay,Overnight,USPS,Marketplace,,Owensstad,NH,96564,USA
46719469,453597,6726262,2024-04-10 23:25:19,2024-04-13 23:25:19,1,56.92,0.0,4.55,8.1,69.57,False,Shipped,0.0,Credit Card,Expedited,FedEx,Marketplace,,Lake Joshuabury,MA,75076,USA
15260217,191421,2873214,2024-04-11 02:41:09,2024-04-14 02:41:09,1,20.66,2.07,1.49,10.07,30.15,False,Shipped,0.0,Google Pay,Two-Day,USPS,Marketplace,VIP20,North Robinstad,CA,37405,USA
18096412,154907,3871527,2024-04-11 04:00:30,2024-04-13 04:00:30,3,64.69,0.0,15.53,0.0,209.6,True,Delivered,0.0,PayPal,Standard,USPS,Marketplace,,Jeffreyside,VT,92762,USA
19952110,191421,6278129,2024-04-11 04:51:59,2024-04-13 04:51:59,2,23.65,0.0,3.31,8.67,59.28,False,Cancelled,52.77,Gift Card,Expedited,UPS,Online Store,,South Kayla,NH,76333,USA
52055383,448334,2663345,2024-04-11 11:37:59,2024-04-16 11:37:59,4,135.46,108.37,34.68,0.0,468.15,True,Shipped,0.0,Credit Card,Two-Day,DHL,Online Store,,Lake Timothy,WV,02294,USA
48146558,191421,4871926,2024-04-11 12:40:38,2024-04-14 12:40:38,5,22.03,0.0,10.19,0.0,120.34,True,Delivered,0.0,Gift Card,Expedited,UPS,Online Store,,New Mary,MA,94188,USA
23836007,191421,5356137,2024-04-11 15:53:29,2024-04-17 15:53:29,5,21.26,0.0,7.44,0.0,113.74,True,Shipped,0.0,Apple Pay,Standard,FedEx,Online Store,,South Sarahbury,CT,89990,USA
15099486,993477,4410339,2024-04-11 18:25:19,2024-04-13 18:25:19,1,82.44,4.12,5.48,0.0,83.8,True,Shipped,0.0,PayPal,Two-Day,UPS,Online Store,WELCOME10,Annaville,MD,00915,USA
41739480,191421,3031604,2024-04-11 22:07:14,2024-04-15 22:07:14,23,22.89,0.0,42.12,0.0,568.59,True,Shipped,0.0,PayPal,Expedited,FedEx,Marketplace,,West Rickyland,CA,84405,USA
76002715,453597,3545061,2024-04-11 22:26:06,2024-04-18 22:26:06,2,55.5,0.0,5.55,0.0,116.55,True,Delivered,0.0,Gift Card,Two-Day,FedEx,Online Store,,East Danielleberg,IL,84440,USA
12234753,979234,9091793,2024-04-12 02:30:13,2024-04-13 02:30:13,1,395.13,0.0,19.76,0.0,414.89,True,Shipped,0.0,PayPal,Standard,UPS,Online Store,,Hannahville,DE,61551,USA
61625337,191421,7244800,2024-04-12 04:47:10,2024-04-16 04:47:10,2,24.11,0.0,4.46,11.75,64.43,False,Shipped,0.0,Credit Card,Two-Day,UPS,Online Store,,New Karen,ID,49275,USA
84259060,154907,2147076,2024-04-12 05:36:03,2024-04-19 05:36:03,1,58.74,0.0,4.11,13.93,76.78,False,Shipped,0.0,Credit Card,Overnight,USPS,Online Store,,New Rebeccaland,RI,88984,USA
74646325,453597,5815115,2024-04-12 07:54:20,2024-04-12 07:54:20,3,48.4,0.0,7.26,0.0,152.46,True,Shipped,0.0,Gift Card,Expedited,UPS,Marketplace,,West Melodyside,AZ,66084,USA
77959708,191421,7529926,2024-04-12 08:25:34,2024-04-14 08:25:34,4,22.45,0.0,6.29,0.0,96.09,True,Delivered,0.0,Apple Pay,Standard,DHL,Marketplace,,Stephenchester,MI,13588,USA
33173480,688211,1309406,2024-04-12 09:08:56,2024-04-14 09:08:56,2,53.17,0.0,8.51,0.0,114.85,True,Processing,0.0,PayPal,Two-Day,UPS,Online Store,,North Kevin,AR,72774,USA
17285207,979234,8336971,2024-04-12 12:15:56,2024-04-16 12:15:56,1,480.76,0.0,33.65,0.0,514.41,True,Returned,389.78,PayPal,Expedited,USPS,Retail Store,,Mcfarlandmouth,GA,86117,USA
63636518,191421,8814655,2024-04-12 13:54:32,2024-04-14 13:54:32,1,23.62,0.0,1.18,10.07,34.87,False,Shipped,0.0,Google Pay,Two-Day,FedEx,Online Store,,Marvinberg,MN,92070,USA
44698761,154907,3262777,2024-04-12 14:38:59,2024-04-15 14:38:59,1,64.64,0.0,5.17,0.0,69.81,True,Delivered,0.0,Gift Card,Overnight,USPS,Wholesale,,Murphyhaven,ID,96692,USA
16186096,191421,1129303,2024-04-12 20:32:58,2024-04-12 20:32:58,3,22.93,0.0,5.5,9.91,84.2,False,Delivered,0.0,Gift Card,Expedited,USPS,Marketplace,,Hobbsburgh,OK,66594,USA
33646483,191421,6787589,2024-04-12 21:57:10,2024-04-14 21:57:10,5,21.23,0.0,9.82,0.0,115.97,True,Return Requested,91.17,Gift Card,Overnight,UPS,Online Store,,Lake Elizabeth,VT,27591,USA
89511455,379501,6756593,2024-04-12 22:19:32,2024-04-16 22:19:32,2,217.47,0.0,40.23,0.0,475.17,True,Delivered,0.0,PayPal,Two-Day,USPS,Online Store,,Garyton,NY,65474,USA
36438138,191421,9930494,2024-04-13 04:26:58,2024-04-14 04:26:58,1,22.45,1.12,1.71,7.44,30.48,False,Shipped,0.0,PayPal,Expedited,FedEx,Online Store,VIP20,New Tinamouth,MI,37024,USA
13056907,993477,2308551,2024-04-13 04:51:13,2024-04-16 04:51:13,1,73.59,0.0,5.15,9.49,88.23,False,Shipped,0.0,Google Pay,Two-Day,FedEx,Marketplace,,Joyceburgh,CO,88796,USA
16736814,191421,6237095,2024-04-13 05:13:12,2024-04-16 05:13:12,2,21.03,2.1,2.8,17.9,60.66,False,Processing,0.0,PayPal,Overnight,UPS,Retail Store,VIP20,North Brittneyville,VT,24444,USA
74155270,191421,7297077,2024-04-13 07:53:41,2024-04-15 07:53:41,1,25.35,1.27,1.69,4.8,30.57,False,Delivered,0.0,Credit Card,Standard,FedEx,Online Store,WELCOME10,South Jennafurt,RI,12466,USA
60513266,688211,9968734,2024-04-13 09:22:19,2024-04-15 09:22:19,5,54.24,0.0,21.7,0.0,292.9,True,Processing,0.0,Gift Card,Two-Day,UPS,Wholesale,,Kurtland,OK,79913,USA
30748374,191421,9008130,2024-04-13 09:29:17,2024-04-18 09:29:17,1,21.1,2.11,1.52,15.35,35.86,False,Shipped,0.0,PayPal,Overnight,DHL,Online Store,,East Sharon,MI,45935,USA
51771603,453597,9330666,2024-04-13 11:38:12,2024-04-18 11:38:12,1,48.31,4.83,4.02,8.1,55.6,False,Cancelled,26.77,Apple Pay,Expedited,FedEx,Online Store,,Lake Sarah,NM,82411,USA
32069919,191421,2184613,2024-04-13 12:09:04,2024-04-14 12:09:04,1,23.83,0.0,2.2,4.8,30.83,False,Delivered,0.0,Google Pay,Standard,UPS,Retail Store,,Grahamshire,CA,11360,USA
79797303,154907,4416901,2024-04-13 16:26:45,2024-04-14 16:26:45,11,52.54,0.0,28.9,0.0,606.84,True,Delivered,0.0,Credit Card,Expedited,DHL,Online Store,,Roberthaven,MN,47524,USA
78373754,191421,5726012,2024-04-13 19:16:31,2024-04-15 19:16:31,2,21.84,6.55,2.6,8.67,48.4,False,Delivered,0.0,Credit Card,Expedited,USPS,Marketplace,SPRING15,Charlesland,NM,44028,USA
55397065,191421,5820071,2024-04-13 22:02:19,2024-04-13 22:02:19,1,23.35,0.0,1.63,7.44,32.42,False,Delivered,0.0,PayPal,Expedited,USPS,Marketplace,,Lake Allison,WV,10591,USA
28602128,453597,3087450,2024-04-13 22:42:32,2024-04-18 22:42:32,1,57.99,0.0,4.64,8.1,70.73,False,Shipped,0.0,Gift Card,Expedited,DHL,Online Store,,West Angela,GA,46428,USA
71209971,191421,1675779,2024-04-14 01:05:23,2024-04-19 01:05:23,5,24.85,0.0,11.49,0.0,135.74,True,Shipped,0.0,Apple Pay,Two-Day,UPS,Online Store,,Victorstad,OK,05200,USA
93972380,154907,2937877,2024-04-14 03:06:11,2024-04-17 03:06:11,4,56.67,22.67,16.32,0.0,220.33,True,In Transit,0.0,Google Pay,Overnight,DHL,Online Store,VIP20,New Michael,KY,77383,USA
98151409,979234,9043008,2024-04-14 06:11:27,2024-04-17 06:11:27,2,440.78,132.23,59.95,0.0,809.28,True,Delivered,0.0,PayPal,Standard,USPS,Online Store,BULK5,Farleyburgh,FL,90789,USA
49552951,154907,7265676,2024-04-14 06:12:28,2024-04-17 06:12:28,9,63.67,0.0,28.65,0.0,601.68,True,Delivered,0.0,Gift Card,Two-Day,DHL,Online Store,,Andersonland,IL,10890,USA
63407975,191421,3817539,2024-04-14 10:23:22,2024-04-17 10:23:22,2,22.43,2.24,3.94,0.0,46.56,True,Delivered,0.0,Gift Card,Expedited,UPS,Marketplace,VIP20,South Edwin,PA,03857,USA
